sentiment,ngram,count
positive,feel like,5
positive,loose job,4
positive,path technology,3
positive,technology replacing,3
positive,loose job continue,3
positive,feel like loose,3
positive,job continue path,3
positive,job continue,3
positive,like loose job,3
positive,know feel like,3
positive,like loose,3
positive,path technology replacing,3
positive,know feel,3
positive,continue path technology,3
positive,continue path,3
neutral,tag messages ai,3
neutral,tag messages,3
neutral,memo mins,3
neutral,outline client memo,3
neutral,outline client,3
neutral,messages ai related,3
neutral,messages ai,3
neutral,related automatically,3
neutral,helped outline,3
neutral,helped outline client,3
neutral,bot tag,3
neutral,bot tag messages,3
neutral,ai related,3
neutral,ai related automatically,3
neutral,client memo mins,3
negative,low key,2
negative,wrong code wrong,1
negative,wrong answers,1
negative,writing code,1
negative,worried ai replace,1
negative,worried ai,1
negative,won work,1
negative,using chatgpt cut,1
negative,using chatgpt,1
negative,wrong code,1
negative,using ai brains,1
negative,using ai,1
negative,time given rapidly,1
negative,time half,1
negative,tech advancing,1
